fecha,planta,linea_produccion,turno,operario,supervisor,etapa_proceso,tipo_producto,talla,color,unidades_producidas,tela_utilizada_m2,tiempo_operacion_min,tiempo_paro_min,costo_tela_m2_usd,costo_unitario_usd,unidades_defectuosas,unidades_retrabajo,tela_desperdiciada_m2,costo_desperdicio_usd,tipo_defecto,causa_raiz,porcentaje_defectos,porcentaje_merma_tela,eficiencia_linea,CRITICIDAD
3/1/2026,Planta A,L3,Noche,Darcee Scargill,Wilbur D'Agostino,Costura,Deportiva,XL,Rojo,383,75,324,31,5,6,94,49,9.84,613.2,Costura defectuosa,Proceso ineficiente,0.0,0.1312,1.0,Bajo
3/12/2026,Planta B,L1,Tarde,Sunny Mitchener,Gloriana Cawte,Acabado,Deportiva,XL,Negro,390,214,337,112,2,23,33,36,18.56,796.12,Corte incorrecto,Error humano,0.0,0.0867,1.0,Critico
3/30/2026,Planta A,L7,Dia,Esdras Macveigh,Binny Snodden,Corte,Premium,M,Blanco,195,147,476,45,2,13,34,32,22.22,486.44,Medida incorrecta,Error humano,0.0,0.1512,0.0,Bajo
3/23/2026,Planta C,L4,Dia,Fernandina Stummeyer,Biddie Devenny,Acabado,Deportiva,M,Blanco,171,60,271,64,2,9,20,15,7.59,195.18,Corte incorrecto,Materia prima defectuosa,0.0,0.1265,0.0,Bajo
3/6/2026,Planta A,L10,Noche,Jamima Baumber,Genny Jose,Costura,Deportiva,L,Negro,144,209,325,75,5,13,64,13,36.98,1016.9,Medida incorrecta,Error humano,0.0,0.1769,0.0,Bajo
3/25/2026,Planta B,L5,Dia,Ronny Dalinder,Peyton Mannie,Corte,Deportiva,M,Negro,271,267,431,36,8,13,19,38,102.47,1066.76,Tela danada,Proceso ineficiente,0.0,0.3838,0.0,Bajo
3/4/2026,Planta A,L1,Tarde,Anet Greenrodd,Nananne Euels,Costura,Deportiva,L,Blanco,216,135,427,7,7,15,40,41,12.73,689.11,Medida incorrecta,Error humano,0.0,0.0943,0.0,Bajo
3/26/2026,Planta B,L6,Noche,Andros Upham,Alistair Lethebridge,Corte,Basica,XL,Azul,261,137,146,102,8,16,104,40,50.27,2066.16,Mancha,Proceso ineficiente,0.0,0.3669,1.0,Critico
3/26/2026,Planta A,L3,Dia,Niki Deware,Anneliese Videler,Corte,Basica,S,Negro,290,156,367,94,7,15,44,34,45.56,978.92,Corte incorrecto,Error humano,0.0,0.2921,0.0,Critico
3/10/2026,Planta A,L4,Noche,Kerrin Souter,Karim Goodwill,Acabado,Basica,L,Azul,469,298,299,30,4,13,215,79,18.35,2868.4,Mancha,Falla maquina,0.0,0.0616,1.0,Critico
3/25/2026,Planta C,L3,Noche,Kiri Jerratsch,Casper Penvarne,Calidad,Premium,XL,Negro,145,55,452,114,4,3,48,12,8.96,179.84,Corte incorrecto,Proceso ineficiente,0.0,0.1629,0.0,Critico
3/15/2026,Planta A,L2,Tarde,Hedvig Yearsley,Sergei Pedlingham,Acabado,Premium,M,Rojo,386,182,149,98,5,24,86,67,31.72,2222.6,Mancha,Falla maquina,0.0,0.1743,2.0,Critico
3/12/2026,Planta C,L5,Noche,Natalina Malpas,Tom Howison,Acabado,Deportiva,M,Negro,445,111,192,112,8,15,98,25,8.8,1540.4,Corte incorrecto,Proceso ineficiente,0.0,0.0793,2.0,Critico
3/3/2026,Planta A,L7,Tarde,Lucky Rockey,Dael McShane,Corte,Premium,L,Gris,192,59,253,115,4,25,35,25,13.11,927.44,Medida incorrecta,Error humano,0.0,0.2222,0.0,Critico
3/17/2026,Planta C,L5,Tarde,Jonathon Ghilardini,Harris Macak,Acabado,Deportiva,M,Negro,235,258,450,56,2,21,13,37,42.15,357.3,Tela danada,Error humano,0.0,0.1634,0.0,Bajo
3/9/2026,Planta A,L9,Noche,Luciana Thredder,Abner Rymill,Acabado,Premium,XL,Blanco,355,244,473,120,7,7,141,40,47.47,1319.29,Corte incorrecto,Materia prima defectuosa,0.0,0.1945,0.0,Critico
3/9/2026,Planta C,L5,Dia,Flore Knuckles,Mackenzie Lindenfeld,Calidad,Deportiva,S,Negro,277,134,229,112,8,20,69,34,17.03,1516.24,Costura defectuosa,Falla maquina,0.0,0.1271,1.0,Critico
3/28/2026,Planta C,L7,Dia,Tamra Benford,Jenilee Skim,Costura,Premium,M,Blanco,424,107,259,92,4,17,28,32,13.2,528.8,Costura defectuosa,Materia prima defectuosa,0.0,0.1234,1.0,Critico
3/30/2026,Planta A,L6,Dia,Keir Patmore,Winonah Ayling,Calidad,Deportiva,S,Azul,336,123,411,3,5,20,31,54,16.85,704.25,Costura defectuosa,Error humano,0.0,0.137,0.0,Bajo
3/24/2026,Planta A,L1,Dia,Lindie Dentith,Samuele Gregr,Costura,Deportiva,M,Negro,198,178,417,43,5,23,46,21,31.09,1213.45,Medida incorrecta,Proceso ineficiente,0.0,0.1747,0.0,Bajo
3/12/2026,Planta A,L10,Dia,Berty Garretson,Thea Patient,Costura,Deportiva,XL,Gris,454,130,206,109,2,6,44,60,11.58,287.16,Corte incorrecto,Falla maquina,0.0,0.0891,2.0,Critico
3/15/2026,Planta B,L2,Noche,Lilas Sprowle,Raquel Boyn,Acabado,Premium,M,Azul,367,166,425,53,6,19,78,48,30.05,1662.3,Costura defectuosa,Proceso ineficiente,0.0,0.181,0.0,Bajo
3/20/2026,Planta C,L3,Dia,Lita Kinchin,Jenine Lehemann,Corte,Deportiva,M,Azul,370,246,190,97,7,11,32,30,75.84,882.88,Tela danada,Materia prima defectuosa,0.0,0.3083,1.0,Critico
3/3/2026,Planta B,L1,Dia,Ann-marie Prosser,Lisabeth Oxbrow,Acabado,Deportiva,L,Rojo,169,88,115,80,6,16,32,13,8.93,565.58,Costura defectuosa,Materia prima defectuosa,0.0,0.1015,1.0,Bajo
3/17/2026,Planta A,L4,Dia,Latia Gadie,Jeanette Sherwell,Calidad,Basica,XL,Azul,245,67,203,48,8,6,28,36,8.1,232.8,Costura defectuosa,Proceso ineficiente,0.0,0.1209,1.0,Bajo
3/13/2026,Planta B,L3,Noche,Elwyn Fusco,Delia Harnetty,Acabado,Deportiva,M,Negro,301,242,263,93,5,7,112,39,17.42,871.1,Mancha,Error humano,0.0,0.072,1.0,Critico
3/4/2026,Planta B,L7,Noche,Arda Hurley,Toby Bone,Costura,Deportiva,XL,Negro,403,51,366,112,7,3,125,80,2.28,390.96,Mancha,Error humano,0.0,0.0447,1.0,Critico
3/3/2026,Planta A,L4,Noche,Marley Lant,Krystalle Tapson,Calidad,Deportiva,M,Gris,434,79,265,22,7,10,170,39,10.77,1775.39,Corte incorrecto,Error humano,0.0,0.1363,1.0,Bajo
3/22/2026,Planta B,L1,Noche,Deena Wigsell,Cynthy Mowlam,Acabado,Deportiva,S,Rojo,459,222,437,42,5,3,181,83,27.76,681.8,Tela danada,Materia prima defectuosa,0.0,0.125,1.0,Bajo
3/2/2026,Planta B,L3,Noche,Fanya Olensby,Darci Bambury,Calidad,Premium,S,Negro,102,145,216,78,8,8,42,9,10.72,421.76,Medida incorrecta,Falla maquina,0.0,0.0739,0.0,Bajo
3/15/2026,Planta A,L2,Tarde,Eddie Brewerton,Jere Aubrun,Acabado,Basica,M,Blanco,490,288,138,13,7,11,64,88,28.53,903.71,Corte incorrecto,Materia prima defectuosa,0.0,0.0991,3.0,Bajo
3/20/2026,Planta B,L10,Noche,Gus Rigler,Grover Lisciandro,Calidad,Deportiva,L,Negro,436,290,395,70,3,24,149,41,49.69,3725.07,Mancha,Proceso ineficiente,0.0,0.1713,1.0,Critico
3/21/2026,Planta B,L10,Tarde,Sonnnie Lanfer,Carlina Boshell,Calidad,Premium,L,Gris,328,213,212,36,6,14,46,57,6.65,683.9,Tela danada,Materia prima defectuosa,0.0,0.0312,1.0,Bajo
3/23/2026,Planta A,L5,Tarde,Rosalia Murtell,Carlos Baulch,Costura,Basica,L,Gris,451,142,453,65,6,10,49,65,22.43,624.58,Corte incorrecto,Error humano,0.0,0.158,0.0,Bajo
3/22/2026,Planta A,L9,Noche,Saraann Francie,Sigismundo Hammersley,Costura,Deportiva,L,Gris,274,280,417,106,6,17,106,15,42.52,2057.12,Mancha,Falla maquina,0.0,0.1519,0.0,Critico
3/20/2026,Planta A,L9,Noche,Buffy Thake,Welby Willes,Calidad,Basica,XL,Blanco,81,110,301,56,4,11,39,12,4.35,446.4,Corte incorrecto,Falla maquina,0.0,0.0395,0.0,Bajo
3/9/2026,Planta B,L6,Noche,Mildred Sydry,Euphemia Borghese,Acabado,Premium,XL,Azul,319,213,386,50,7,7,139,47,15.97,1084.79,Tela danada,Error humano,0.0,0.075,0.0,Bajo
3/4/2026,Planta C,L2,Noche,Angel Lacroux,Sherwood Drage,Calidad,Premium,S,Rojo,134,256,343,57,7,23,35,15,29.72,1013.04,Costura defectuosa,Error humano,0.0,0.1161,0.0,Bajo
3/24/2026,Planta B,L3,Tarde,Darryl Selwyn,Lina Haugg,Acabado,Basica,S,Azul,105,104,189,109,4,10,11,12,18.86,185.44,Mancha,Falla maquina,0.0,0.1813,0.0,Critico
